
Japanese	Type	Romaji	English
いい	adjective	ī	good
かゆい	adjective	Kayui	Itchy
かわいらしい	adjective	Kawairashī	Lovely
きつい	adjective	Kitsui	Intense
くやしい	adjective	Kuyashī	Regrettable
しかたない	adjective	Shikatanai	It can’t be helped
つらい	adjective	Tsurai	Spicy
ない	adjective	nai	nonexistent
めでとう	adjective	medetō	happy
鋭い	adjective	Surudoi	Pointed
恐ろしい	adjective	Osoroshī	Terrible
苦しい	adjective	Kurushī	Painful
激しい	adjective	Hageshī	Violent
賢い	adjective	Kashikoi	Wise
詳しい	adjective	Kuwashī	Knowing very well
親しい	adjective	Shitashī	Intimate
粗い	adjective	Arai	Coarse
等しい	adjective	Hitoshī	Equal
濃い	adjective	Koi	Deep
貧しい	adjective	Mazushī	Poor
幼い	adjective	Osanai	Very young
良い	adjective	yoi	good
良い	adjective	yoi	good
あんな	adjective-na	Anna	Such (about something or someone distant from both speaker and listener, or about a situation unfamiliar to both speaker and lis
かわいそう	adjective-na	Kawaisō	Poor
グローバル	adjective-na	Gurōbaru	Global
こんな	adjective-na	Konna	Such , or about ideas expressed by the speaker)
ドロドロ	adjective-na	Dorodoro	Syrupy
どんな	adjective-na	Donna	What
ばらばら	adjective-na	Barabara	Scattered
めった	adjective-na	Metta	Thoughtless
偉大	adjective-na	Idai	Greatness
意外	adjective-na	Igai	Unexpected
温暖	adjective-na	Ondan	Warmth
穏やか	adjective-na	Odayaka	Calm
可能	adjective-na	kanō	possible
可能	adjective-na	Kanō	Possible
確実	adjective-na	Kakujitsu	Certainty
完全	adjective-na	Kanzen	Perfection
器用	adjective-na	Kiyō	Skillful
奇妙	adjective-na	Kimyō	Strange
気の毒	adjective-na	Kinodoku	Pitiful
貴重	adjective-na	Kichō	Precious
急激	adjective-na	Kyūgeki	Sudden
急速	adjective-na	Kyūsoku	Rapid
巨大	adjective-na	Kyodai	Huge
強力	adjective-na	Kyōryoku	Powerful
嫌	adjective-na	Iya	Disagreeable
見事	adjective-na	Migoto	Splendid
主要	adjective-na	Shuyō	Chief
重大	adjective-na	Jūdai	Serious
重要	adjective-na	Jūyō	Important
順調	adjective-na	Junchō	Favourable
新た	adjective-na	Arata	New
新鮮	adjective-na	Shinsen	Fresh
深刻	adjective-na	Shinkoku	Serious
真っ赤	adjective-na	Makka	Bright red
正式	adjective-na	Seishiki	Due form
粗末	adjective-na	Somatsu	Crude
素敵	adjective-na	Suteki	Lovely
単純	adjective-na	Tanjun	Simplicity
直	adjective-na	Choku	Direct
適切	adjective-na	Tekisetsu	Pertinent
適度	adjective-na	Tekido	Moderate
同一	adjective-na	Dōitsu	Identity
同様	adjective-na	Dōyō	Identical
独特	adjective-na	Dokutoku	Peculiarity
抜群	adjective-na	Batsugun	Preeminence
非常	adjective-na	Hijō	Emergency
微妙	adjective-na	Bimyō	Delicate
必死	adjective-na	Hisshi	Frantic
不要	adjective-na	Fuyō	Unnecessary
豊か	adjective-na	Yutaka	Abundant
豊富	adjective-na	Hōfu	Abundance
夢中	adjective-na	Muchū	Daze
明らか	adjective-na	Akiraka	Obvious
明確	adjective-na	Meikaku	Clear
優秀	adjective-na	Yūshū	Superiority
有効	adjective-na	Yūkō	Validity
有利	adjective-na	Yūri	Advantageous
容易	adjective-na	Yōi	Easy
様々	adjective-na	Samazama	Varied
利口	adjective-na	Rikō	Clever
あらゆる	adnominal	Arayuru	All
いわゆる	adnominal	Iwayuru	What is called
この	adnominal	Kono	This , or ideas expressed by the speaker)
その	adnominal	Sono	That
その	adnominal	Sono	That
我が	adnominal	Waga	My
大した	adnominal	Taishita	Considerable
単なる	adnominal	Tannaru	Mere
あいにく	adverb	Ainiku	Unfortunately
あんまり	adverb	Anmari	Remainder
いずれ	adverb	Izure	Where
おそらく	adverb	Osoraku	Perhaps
およそ	adverb	Oyoso	About
がっかり	adverb	Gakkari	Feel disappointed
かなり	adverb	Kanari	Considerably
きちんと	adverb	Kichinto	Precisely
ぐつぐつ	adverb	Gutsugutsu	Simmering
ぐっすり	adverb	Gussuri	Sound asleep
ざっ	adverb	Za^	Za^
さっぱり	adverb	Sappari	Feeling refreshed
しきり	adverb	Shikiri	Frequent
じっと	adverb	Jitto	Motionlessly
しばしば	adverb	Shibashiba	Often
すう	adverb	sū	to smoke
せいぜい	adverb	Seizei	At the most
そっくり	adverb	Sokkuri	All
そっと	adverb	Sotto	Softly
たっぷり	adverb	Tappuri	Full
たとえ	adverb	Tatoe	Even if
たびたび	adverb	Tabitabi	Often
たまたま	adverb	Tamatama	Casually
ちゃんと	adverb	Chanto	Perfectly
つまり	adverb	Tsumari	In short
どう	adverb	Dō	Precisely
とにかく	adverb	Tonikaku	Anyhow
とんでも	adverb	Tondemo	Tondemo
なぜ	adverb	Naze	Why
にっこり	adverb	Nikkori	Smile sweetly
のんびり	adverb	Nonbiri	Carefree
ぴったり	adverb	Pittari	Exactly
ふと	adverb	Futo	Suddenly
ほぼ	adverb	Hobo	Almost
ぼんやり	adverb	Bon’yari	Absent-minded
まさか	adverb	Masaka	By no means
まさに	adverb	Masani	Exactly
ますます	adverb	Masumasu	Increasingly
まるで	adverb	Marude	Quite
むしろ	adverb	Mushiro	Rather
もし	adverb	Moshi	If
やがて	adverb	Yagate	Before long
やや	adverb	Yaya	A little
ゆっくり	adverb	Yukkuri	Slowly
ワイワイ	adverb	Waiwai	Noisily
わざと	adverb	Wazato	On purpose
わざわざ	adverb	Wazawaza	Expressly
わずか	adverb	Wazuka	Only
一層	adverb	Issō	Much more
既に	adverb	Sudeni	Already
言わば	adverb	Iwaba	So to speak
幸い	adverb	Saiwai	Happiness
再び	adverb	Futatabi	Again
次々	adverb	Tsugitsugi	In succession
主に	adverb	Omoni	Mainly
少し	adverb	Sukoshi	Small quantity
真っ直ぐ	adverb	Massugu	Straight
遂に	adverb	Tsuini	Finally
随分	adverb	Zuibun	Very
正直	adverb	Shōjiki	Honesty
全く	adverb	Mattaku	Really
大いに	adverb	ōini	Very
単に	adverb	Tanni	Simply
直ちに	adverb	Tadachini	At once
当然	adverb	Tōzen	Natural
特に	adverb	Tokuni	Particularly
突然	adverb	Totsuzen	Abrupt
必ず	adverb	Kanarazu	Always
余り	adverb	Amari	Remainder
ず	auxiliary	zu	figure
せる	auxiliary	seru	auxiliary verb indicating the causative
た	auxiliary	ta	-ed
な	auxiliary	na	plain copula
ない	auxiliary	nai	not
なら	auxiliary	nara	plain copula
に	auxiliary	ni	plain copula
に	auxiliary	ni	plain copula
に	auxiliary	ni	plain copula
に	auxiliary	ni	plain copula
に	auxiliary	ni	plain copula
に	auxiliary	ni	plain copula
に	auxiliary	ni	plain copula
に	auxiliary	ni	plain copula
ます	auxiliary	masu	^polite
ます	auxiliary	masu	^polite
ませ	auxiliary	mase	^polite
ん	auxiliary	n	figure
あるいは	conjunction	Aruiwa	Or
さて	conjunction	Sate	Well
さらに	conjunction	Sarani	Furthermore
しかも	conjunction	Shikamo	Moreover
すなわち	conjunction	Sunawachi	That is
ただ	conjunction	Tada	Ordinary
なお	conjunction	Nao	Furthermore
一方	conjunction	Ippō	One
更に	conjunction	Sarani	Furthermore
又	conjunction	Mata	Again
あっ	interjection	A^	A^
う	interjection	U	U
アイス	noun	Aisu	Ice
アイディア	noun	Aidia	Idea
アイロン	noun	Airon	iron
アウト	noun	Auto	Out
あくび	noun	Akubi	Yawn
アドバイス	noun	Adobaisu	Advice
アニメ	noun	Anime	Animated film
アルバム	noun	Arubamu	Album
アレルギー	noun	Arerugī	Allergy
いたずら	noun	Itazura	Tease
いち	noun	ichi	one
いちご	noun	Ichigo	Strawberry
いっせい	noun	Issei	Simultaneous
いとこ	noun	Itoko	Male cousin
イベント	noun	Ibento	Event
いらいら	noun	Iraira	Getting nervous
インク	noun	Inku	Ink
インターンシップ	noun	Intānshippu	Internship
ウイスキー	noun	Uisukī	Whisky
ウイルス	noun	Uirusu	Virus
ウイルス	noun	Uirusu	Virus
うがい	noun	Ugai	Gargling
うさぎ	noun	Usagi	Rabbit
うち	noun	uchi	inside
うどん	noun	Udon	Udon
うなぎ	noun	Unagi	Eel
エネルギー	noun	Enerugī	Energy
エビ	noun	Ebi	Frog
エンジン	noun	Enjin	Engine
オープン	noun	ōpun	Open
おかげ	noun	okage	backing
おじ	noun	Oji	Uncle
おば	noun	Oba	Aunt
オフィス	noun	Ofisu	Office
おもて	noun	omote	surface
オリンピック	noun	Orinpikku	Olympic
ガーデニング	noun	Gādeningu	Gardening
カード	noun	Kādo	Card
かご	noun	Kago	Basket
かず	noun	kazu	number
かっこ	noun	Kakko	Shape
カット	noun	Katto	Cut
カビ	noun	Kabi	Mold
カフェ	noun	Kafe	Cafe
カロリー	noun	Karorī	Calorie
キャンセル	noun	Kyanseru	Cancel
キャンプ	noun	Kyanpu	Camp
キュウリ	noun	Kyūri	Cucumber
キロ	noun	Kiro	Kilo-
クーポン	noun	Kūpon	Coupon
くしゃみ	noun	Kushami	Kushami
クッキー	noun	Kukkī	Cookie
グラウンド	noun	Guraundo	Sports ground
クラシック	noun	Kurashikku	Classical music
グラス	noun	Gurasu	Glass
クラスメイト	noun	Kurasumeito	Classmate
クラブ	noun	kurabu	club
クリーム	noun	kurīmu	cream
クリーム	noun	Kurīmu	Cream
クリーム	noun	kurīmu	cream
クリスマス	noun	Kurisumasu	Christmas
グループ	noun	Gurūpu	Group
グループ	noun	Gurūpu	Group
グルメ	noun	Gurume	Gourmet
グレー	noun	Gurei	Grey
ケース	noun	Keisu	Case
ゲーム	noun	Geimu	Game
ケチ	noun	Kechi	Stinginess
コアラ	noun	Koara	Koala
コーチ	noun	Kōchi	Coach
コード	noun	Kōdo	Code
ゴール	noun	Gōru	Goal
ゴール	noun	Gōru	Goal
こしょう	noun	Koshō	Pepper
コミュニケーション	noun	Komyunikeishon	Communication
コメディー	noun	Komedī	Comedy
ごめん	noun	Gomen	Your pardon
ゴルフ	noun	Gorufu	Golf
コンタクト	noun	Kontakuto	Contact
サークル	noun	Sākuru	Circle
サービス	noun	Sābisu	Service
さい	noun	sai	on the occasion of
サイン	noun	Sain	Autograph
サプリ	noun	Sapuri	Supplement
サプリメント	noun	Sapurimento	Supplement
サポート	noun	Sapōto	Support
サラリーマン	noun	Sararīman	Office worker
サングラス	noun	Sangurasu	Sunglasses
サンタクロース	noun	Santakurōsu	Santa Claus
ジーンズ	noun	Jīnzu	Jeans
システム	noun	Shisutemu	System
しっぽ	noun	Shippo	Tail
