Japanese	type	Romaji	English
上がる	verb"}”>verb	Agaru	To rise
味	noun	Aji	Flavor
赤ん坊	noun	Akanbō	Baby
空く	verb"}”>verb	Aku	To open
案内	noun	Annai	Information
安心	noun	Anshin	Relief
安全	noun	Anzen	Safety
浅い	adjective"}”>adjective	Asai	Shallow
遊び	noun	Asobi	Playing
明日	noun	Asu	Tomorrow
集める	verb"}”>verb	Atsumeru	To collect
合う	verb"}”>verb	Au	To come together
謝る	verb"}”>verb	Ayamaru	To apologize
場合	noun	Baai	Case
倍	noun	Bai	Twice
番組	noun	Bangumi	Program
場所	noun	Basho	Place
米	noun	Bei	rice
別	noun	Betsu	Distinction
美術	noun	Bijutsu	Art
貿易	noun	Bōeki	Trade
僕	pronoun	Boku	I
部長	noun	Buchō	Head of a section or department
深い	adjective"}”>adjective	Bukai	Deep
文学	noun	Bungaku	Literature
文化	noun	Bunka	Culture
文法	noun	Bunpō	Grammar"}”>Grammar
ぶり	suffix	buri	style
血	noun	Chi	Blood
力	noun	Chikara	Force
地理	noun	Chiri	Geography
中	prefix	Chū	Medium
注意	noun	Chūi	Caution
注射	noun	Chūsha	Injection
駐車	noun	Chūsha	Parking
大学	noun	Daigaku	university, college, etc Post-secondary education institution, incl. university, college, etc.
大事	noun	Daiji	Important
大体	noun	Daitai	General
暖房	noun	Danbō	Heating
男性	noun	Dansei	Man
電報	noun	Denpō	Telegram
電灯	noun	Dentō	Electric light
度	noun	do	time
動物	noun	Dōbutsu	Animal
道具	noun	Dōgu	Implement
泥棒	noun	Dorobō	Thief
枝	noun	Eda	Branch
園	suffix	en	garden
遠慮	noun	Enryo	Diffidence
選ぶ	verb"}”>verb	Erabu	To choose
婦	suffix	fu	married woman
不便	noun	Fuben	Inconvenience
増える	verb"}”>verb	Fueru	To increase
復習	noun	Fukushū	Review
複雑	noun	Fukuzatsu	Complex
踏む	verb"}”>verb	Fumu	To step on
分	noun	fun	minute
舟	noun	Fune	Ship
布団	noun	Futon	Futon
太る	verb"}”>verb	Futoru	To grow fat
普通	noun	Futsū	General
学校	noun	gakkō	school
学校	noun	gakkō	school
学校	noun	gakkō	school
頑張る	verb"}”>verb	Ganbaru	To persist
原因	noun	Gen’in	Cause
玄関	noun	Genkan	Entranceway
下宿	noun	Geshuku	Boarding
技術	noun	Gijutsu	Art
ご	prefix	Go	Honourable
ご	prefix	Go	Honourable
御	prefix	Go	Honourable
ゴム	noun	gomu	gum
込む	verb"}”>verb	Gomu	To be crowded
具合	noun	Guai	Condition
歯	noun	Ha	Tooth
葉	noun	Ha	Leaf
拝見	noun	Haiken	Seeing
始める	verb"}”>verb	Hajimeru	To start
運ぶ	verb"}”>verb	Hakobu	To carry
花見	noun	Hanami	Cherry blossom viewing
反対	noun	Hantai	Opposition
払う	verb"}”>verb	Harau	To pay
発音	noun	Hatsuon	Pronunciation
林	noun	Hayashi	Woods
恥ずかしい	adjective"}”>adjective	Hazukashī	Shy
変	noun	Hen	Strange
返事	noun	Henji	Reply
冷える	verb"}”>verb	Hieru	To grow cold
非常	adjective-na"}”>adjective-na	Hijō	Emergency
光	noun	Hikari	Light
光る	verb"}”>verb	Hikaru	To shine
引き出し	noun	Hikidashi	Drawer
引っ越す	verb"}”>verb	Hikkosu	To move
飛行	noun	Hikō	Aviation
品	suffix	hin	thing
開く	verb"}”>verb	Hiraku	To open
拾う	verb"}”>verb	Hirou	To pick up
昼間	noun	Hiruma	Daytime
昼休み	noun	Hiruyasumi	Lunch break
久し	adjective"}”>adjective	Hisashi	Long
必要	noun	Hitsuyō	Necessary
方	noun	Hō	Side
翻訳	noun	Hon’yaku	Translation
