Japanese	Hiragana	Romaji	English
父	ちち	chichi	father
名前	なまえ	namae	name
遠い	とおい	tooi	Distant
遅い	おそい	osoi	slow
待つ	まつ	matsu	wait
安い	やすい	yasui	cheap
十一月	じゅういちがつ	juuichigatsu	November
始め	はじめ	hajime	start
耳	みみ	mimi	ear
買う	かう	kau	buy
弟	おとうと	otouto	Younger brother
忘れる	わすれる	wasureru	forget
一日	ついたち	tsuitachi	one day
お父さん	おとうさん	otousan	Dad
返す	かえす	kaesu	return
どうして	どうして	doushite	why
去年	きょねん	kyonen	last year
店	みせ	mise	shop
夏	なつ	natsu	summer
でも	でも	demo	But
手	て	te	hand
磨く	みがく	migaku	polish
お酒	おさけ	osake	sake
大変	たいへん	taihen	very
書く	かく	kaku	write
お姉さん	おねえさん	oneesan	older sister
お手洗い	おてあらい	otearai	Bathroom
伯父さん	おじさん	ojisan	Uncle
丈夫	じょうぶ	joubu	Strong
閉まる	しまる	shimaru	Close
妹	いもうと	imouto	sister
沢山	たくさん	takusan	Lot
外国	がいこく	gaikoku	Foreign countries
国	くに	kuni	Country
茶色	ちゃいろ	chairo	Brown
ボールペン	ボールペン	boorupen	Ballpoint pen
仕事	しごと	shigoto	work
軽い	かるい	karui	light
午後	ごご	gogo	afternoon
置く	おく	oku	Put
地下鉄	ちかてつ	chikatetsu	subway
持つ	もつ	motsu	To have
低い	ひくい	hikui	Low
医者	いしゃ	isha	doctor
頼む	たのむ	tanomu	ask
掃除	そうじ	souji	clean up
晩ご飯	ばんごはん	bangohan	Dinner
冷蔵庫	れいぞうこ	reizouko	refrigerator
終わる	おわる	owaru	Ends
曲がる	まがる	magaru	Bend
宿題	しゅくだい	shukudai	homework
鶏肉	とりにく	toriniku	chicken
履く	はく	haku	wear
閉める	しめる	shimeru	Close
音楽	おんがく	ongaku	musics
めがね	めがね	megane	Glasses
町	まち	machi	town
男	おとこ	otoko	Man
茶碗	ちゃわん	chawan	Cup
吹く	ふく	fuku	Blow
円	えん	en	Circle
ゼロ	ゼロ	zero	zero
スカート	スカート	sukaato	skirt
温かい	あたたかい	atatakai	warm
アパート	アパート	apaato	Apartment
病院	びょういん	byouin	hospital
スポーツ	スポーツ	supootsu	Sport
学生	がくせい	gakusei	Student
八月	はちがつ	hachigatsu	August
十	じゅう	juu	Ten
悪い	わるい	warui	bad
同じ	おなじ	onaji	the same
母	はは	haha	mother
六	ろく	roku	Six
今月	こんげつ	kongetsu	this month
色々	いろいろ	iroiro	various
一昨日	おととい	ototoi	day before yesterday
痛い	いたい	itai	painful
授業	じゅぎょう	jugyou	Lesson
そう	そう	sou	so
おじいさん	おじいさん	ojiisan	old man
暑い	あつい	atsui	hot
ちょっと	ちょっと	chotto"}”>chotto	A little
着く	つく	tsuku	Reach
皆さん	みなさん	minsan	everyone
良い	いい / よい	ii, yoi	good
この	この	kono	this
六月	ろくがつ	rokugatsu	June
四月	しがつ	shigatsu	April
弾く	ひく	hiku	play
パン	パン	pan	Bread
誰	だれ	dare	Who
七月	しちがつ	shichigatsu	July
話	はなし	hanashi	Talk
背	せい	sei	A back
タクシー	タクシー	takushii	taxi
大人	おとな	otona	grown up
登る	のぼる	noboru	climb
食べ物	たべもの	tabemono	food"}”>food
貴方	あなた	anata"}”>anata	you
答える	こたえる	kotaeru	answer
三月	さんがつ	sangatsu	March
並べる	ならべる	naraberu	Line up
あちら	あちら	achira	there
どうも	どうも	doumo	Thanks
兄	あに	ani	Brother
鼻	はな	hana	nose
万	まん	man	Ten thousand
山	やま	yama	Mountain
晴れる	はれる	hareru	Be sunny
シャツ	シャツ	shatsu	shirt
ページ	ページ	peeji	page
ボタン	ボタン	botan	button
若い	わかい	wakai	young
大学	だいがく	daigaku	University"}”>University
三日	みっか	mikka	three days
パーテイー	パーテイー	paateii	Patei
靴	くつ	kutsu	shoes
電気	でんき	denki	Electrical
体	からだ	karada	body
雑誌	ざっし	zasshi	magazine
木曜日	もくようび	mokuyoubi	Thursday
机	つくえ	tsukue	desk
多分	たぶん	tabun	Perhaps
入る	はいる	hairu	enter
箸	はし	hashi	chopsticks
点ける	つける	tsukeru	Apply
背広	せびろ	sebiro	Business suit
洋服	ようふく	youfuku	Clothes
昼	ひる	hiru	Noon
絵	え	e	picture
あそこ	あそこ	asoko	over there
本棚	ほんだな	hondana	Bookshelf
ネクタイ	ネクタイ	nekutai	tie
飛ぶ	とぶ	tobu	jump
大切	たいせつ	taisetsu	important
速い	はやい	hayai	fast
食べる	たべる	taberu	eat
分かる	わかる	wakaru	It is understood
不味い	まずい	mazui	Unpalatable
キロ	キロ	kiro	Kilometer
十日	とおか	tooka	10 days
窓	まど	mado	window
今朝	けさ	kesa	this morning
辺	へん	hen	Sides
暗い	くらい	kurai	dark
ベッド	ベッド	beddo	bed
切手	きって	kitte	stamp
テーブル	テーブル	teeburu	table
始まる	はじまる	hajimaru	Begin
万年筆	まんねんひつ	mannenhitsu	fountain pen
千	せん	sen	thousand
お兄さん	おにいさん	oniisan	brother
声	こえ	koe	voice
お菓子	おかし	okashi	Candy
こちら	こちら	kochira	Click here
フィルム	フィルム	firumu	the film
四	し	shi	Four
学校	がっこう	gakkou	school
今	いま	ima	now
セーター	セーター	seetaa	sweater
どなた	どなた	donata	who is it
飲む	のむ	nomu	drink
下さい	ください	kudasai	Please
ある	ある	aru	is there
洗う	あらう	arau	wash
元気	げんき	genki"}”>genki	Healthy
習う	ならう	narau	learn
地図	ちず	chizu	map
あまり	あまり	amari	not really
違う	ちがう	chigau	Wrong
そうして	そうして	soushite	Then
寝る	ねる	neru	sleep
時計	とけい	tokei	clock
風	かぜ	kaze	Wind
秋	あき	aki	autumn
作文	さくぶん	sakubun	Writing
傘	かさ	kasa	umbrella
泳ぐ	およぐ	oyogu	swim
先	さき	saki	Previous
晩	ばん	ban	night
休み	やすみ	yasumi	Holiday
川	かわ	kawa	river
鳴く	なく	naku	Bark
する	する	suru	Make
豚肉	ぶたにく	butaniku	pork
下	した	shita	under
飛行機	ひこうき	hikouki	airplane
二十日	はつか	hatsuka	The 20th
お腹	おなか	onaka	stomach
いや	いや	iya	Disagreeable
一番	いちばん	ichiban	Best
図書館	としょかん	toshokan	library
だんだん	だんだん	dandan	Gradually
飲物	のみもの	nomimono	drink
戸	と	to	door
封筒	ふうとう	fuutou	envelope
三	さん	san	three
留学生	りゅうがくせい	ryuugakusei	International Students
五	ご	go	Five
お水	おみず	omizu	Water
プール	プール	puuru	Swimming pool
勤める	つとめる	tsutomeru	serve
五つ	いつつ	itsutsu	Five
まだ	まだ	mada	Still
日曜日	にちようび	nichiyoubi	Sunday
八つ	やっつ	yattsu	eight
そこ	そこ	soko	There
五月	ごがつ	gogatsu	May
前	まえ	mae	Previous
十	とお	too	Ten
レコード	レコード	rekoodo	record
青い	あおい	aoi	blue
女	おんな	onna	woman
ギター	ギター	gitaa	guitar
撮る	とる	toru	take
毎日	まいにち	mainichi	every day
白い	しろい	shiroi	white
とても	とても	totemo	very much
質問	しつもん	shitsumon	Question
浴びる	あびる	abiru	Bathe
夏休み	なつやすみ	natsuyasumi	Summer vacation
砂糖	さとう	satou	sugar
バス	バス	basu	bus
今日	きょう	kyou	today
牛肉	ぎゅうにく	gyuuniku	beef
黒い	くろい	kuroi	black
風邪	かぜ	kaze	cold
ズボン	ズボン	zubon	pants
お弁当	おべんとう	obentou	Bento
石鹸	せっけん	sekken	Soap
四つ	よっつ	yottsu	four
明るい	あかるい	akarui	bright
近い	ちかい	chikai	close
大丈夫	だいじょうぶ	daijoubu"}”>daijoubu	All right
出来る	できる	dekiru	Be able to
鉛筆	えんぴつ	enpitsu	pencil
起きる	おきる	okiru	Get up
暇	ひま	hima	Free time
消える	きえる	kieru	Vanish
昨日	きのう	kinou	yesterday
出口	でぐち	deguchi	Exit
靴下	くつした	kutsushita	socks
帽子	ぼうし	boushi	hat
私	わたし	watashi	Me
家内	かない	kanai	wife
手紙	てがみ	tegami	letter
ストーブ	ストーブ	sutoobu	Stove
覚える	おぼえる	oboeru	Remember
電話	でんわ	denwa	phone
映画館	えいがかん	eigakan	Movie theater
広い	ひろい	hiroi	wide
しかし	しかし	shikashi	However
八百屋	やおや	yaoya	Greengrocer
歩く	あるく	aruku	walk
二つ	ふたつ	futatsu	two
家族	かぞく	kazoku	family
会う	あう	au	meet
八日	ようか	youka	The 8th
所	ところ	tokoro	Place
押す	おす	osu	Push
塩	しお	shio	salt
見せる	みせる	miseru	show
マッチ	マッチ	machi	Match
寒い	さむい	samui	Cold
これ	これ	kore	this
バター	バター	bataa	butter
ぐらい	ぐらい	gurai	about
西	にし	nishi	West
顔	かお	kao	face
今週	こんしゅう	konshuu	this week
兄弟	きょうだい	kyoudai	Brother
九月	くがつ	kugatsu	September
昼ご飯	ひるごはん	hirugohan	Lunch
一緒	いっしょ	issho	together
高い	たかい	takai	high
花	はな	hana	flower
いつも	いつも	itsumo	Always
ハンカチ	ハンカチ	hankachi	handkerchief
遊ぶ	あそぶ	asobu	play
上着	うわぎ	uwagi	Jacket
二人	ふたり	futari	Two persons
御飯	ごはん	gohan	rice
いいえ	いいえ	iie	No
歯	は	ha	tooth
送る	おくる	okuru	send
どう	どう	dou	How
ちょうど	ちょうど	choudo	Precisely
立派	りっぱ	rippa	fine
お母さん	おかあさん	okaasan	Mom
午前	ごぜん	gozen	a.m.
公園	こうえん	kouen	park
引く	ひく	hiku	Pull
早い	はやい	hayai	fast
では	では	dewa	In
鞄	かばん	kaban	bag
スリッパ	スリッパ	surippa	slipper
ポケット	ポケット	poketto	pocket
色	いろ	iro	color
どちら	どちら	dochira	Which
友達	ともだち	tomodachi	friend
九	く	ku	Nine
言う	いう	iu	say
結婚	けっこん	kekkon	marriage
来る	くる	kuru	come
長い	ながい	nagai	long
メートル	メートル	meetoru	Meter
重い	おもい	omoi	heavy
練習	れんしゅう	renshuu	practice"}”>practice
そば	そば	soba	Soba
キロ	キロ	kiro	Kilometer
頭	あたま	atama	Head
ノート	ノート	nooto	Note
庭	にわ	niwa	garden
再来年	さらいねん	sarainen	Year after next
朝ご飯	あさごはん	asagohan	Breakfast
服	ふく	fuku	clothes
勿論	もちろん	mochiron	Of course
家	いえ	ie	House
よく	よく	yoku	Often
渡る	わたる	wataru	Cross over
曇り	くもり	kumori	Cloudiness
自転車	じてんしゃ	jitensha	bicycle
奥さん	おくさん	okusan	Wife
子供	こども	kodomo	children
大使館	たいしかん	taishikan	Embassy
美味しい	おいしい	oishii	delicious
誕生日	たんじょうび	tanjoubi	birthday
自分	じぶん	jibun	myself
汚い	きたない	kitanai	dirty
一	いち	ichi	one
上手	じょうず	jouzu	Proficient
黄色い	きいろい	kiiroi	yellow
男の子	おとこのこ	otokonoko	boy
八	はち	hachi	Eight
少し	すこし	sukoshi	a little
辞書	じしょ	jisho	dictionary
三つ	みっつ	mittsu	three
電車	でんしゃ	densha	Electric train
ここ	ここ	koko	here
百	ひゃく	hyaku	hundred
箱	はこ	hako	box
クラス	クラス	kurasu	class
お金	おかね	okane	money
借りる	かりる	kariru	Borrow
野菜	やさい	yasai	Vegetables
椅子	いす	isu	Chair
火曜日	かようび	kayoubi	Tuesday
池	いけ	ike	pond
新しい	あたらしい	atarashii	new
どこ	どこ	doko	Where
ごろ	ごろ	goro	Around
グラム	グラム	guramu	Gram
締める	しめる	shimeru	Fasten
厚い	あつい	atsui	thick
もう	もう	mou	Already
話す	はなす	hanasu	speak
あれ	あれ	are	that
賑やか	にぎやか	nigiyaka	busy
時々	ときどき	tokidoki	Sometimes
強い	つよい	tsuyoi	strong
聞く	きく	kiku	listen
薄い	うすい	usui	thin
住む	すむ	sumu	live
便利	べんり	benri	Convenient
ニュース	ニュース	nyuusu	news
九	きゅう	kyuu	Nine
先月	せんげつ	sengetsu	last month
有る	ある	aru	Have
来年	らいねん	rainen	next year
皆	みんな	minna	all
自動車	じどうしゃ	jidousha	Automobile
疲れる	つかれる	tsukareru	Get tired
トイレ	トイレ	toire	toilet
お茶	おちゃ	ocha	tea
入口	いりぐち	iriguchi	entrance
咲く	さく	saku	bloom
開く	あく	aku	open
フォーク	フォーク	fooku	fork
デパート	デパート	depaato	Department store
内	うち	uchi	The inner
足	あし	ashi	leg
忙しい	いそがしい	isogashii	busy
どうぞ	どうぞ	douzo	here you go
食堂	しょくどう	shokudou	Cafeteria
真直ぐに	まっすぐに	massugu ni	Straight
一月	ひとつき	suki"}”>hitotsuki	January
静か	しずか	shizuka	quiet
映画	えいが	eiga	movies
初めて	はじめて	hajimete	The first time
面白い	おもしろい	omoshiroi	interesting
明日	あした	ashita	tomorrow
お風呂	おふろ	ofuro	bath
あさって	あさって	asatte	The day after tomorrow
大好き	だいすき	suki"}”>daisuki	love"}”>I love
動物	どうぶつ	doubutsu	animal
両親	りょうしん	ryoushin	parents
どれ	どれ	dore	which one
冷たい	つめたい	tsumetai	cold
魚	さかな	sakana	fish
そちら	そちら	sochira	there
玄関	げんかん	genkan	Entrance
生徒	せいと	seito	student
切る	きる	kiru	Cut
十月	じゅうがつ	juugatsu	October
駅	えき	eki	station
エレベータ	エレベータ	erebeeta	elevator
カレンダー	カレンダー	karendaa	calendar
紙	かみ	kami	paper
五日	いつか	itsuka	Five days
あの	あの	ano	that
お皿	おさら	osara	The dishes
作る	つくる	tsukuru	create
下手	へた	heta	poor
車	くるま	kuruma	car
会社	かいしゃ	kaisha	Company
いくつ	いくつ	ikutsu	Some
それ	それ	sore	That
今年	ことし	kotoshi	this year
平仮名	ひらがな	hiragana"}”>hiragana	hiragana"}”>hiragana
洗濯	せんたく	sentaku	Washing
東	ひがし	higashi	east
角	かど	kado	The corner
七日	なのか	nanoka	seven days
番号	ばんごう	bangou	number
時間	じかん	jikan	time
意味	いみ	imi	meaning
こんな	こんな	konna	Such
ドア	ドア	doa	door
姉	あね	ane	sister
難しい	むずかしい	muzukashii	difficult
それから	それから	sorekara	then
片仮名	かたかな	katakana"}”>katakana	Katakana"}”>Katakana
荷物	にもつ	nimotsu	Baggage
先生	せんせい	sensei	teacher
何	なに	nani	what
後ろ	うしろ	ushiro	behind
四日	よっか	yokka	four days
鳥	とり	tori	bird
甘い	あまい	amai	sweet
行く	いく	iku	go
台所	だいどころ	daidokoro	kitchen
あの	あの	ano	that
土曜日	どようび	doyoubi	Saturday
冠る	かぶる	kaburu	Kanmuriru
読む	よむ	yomu	Read
建物	たてもの	tatemono	building
困る	こまる	komaru	Trouble
本	ほん	hon	Book
部屋	へや	heya	room
降りる	おりる	oriru	get off
目	め	me	Eye
太い	ふとい	futoi	thick
向こう	むこう	mukou	Over there
果物	くだもの	kudamono	fruit
小さい	ちいさい	chiisai	small
狭い	せまい	semai	narrow
コート	コート	kooto	coat
隣り	となり	tonari	Next to
一月	いちがつ	ichigatsu	January
毎月	まいつき/まいげつ	suki/maigetsu"}”>maitsuki/maigetsu	monthly
他	ほか	hoka	other
細い	ほそい	hosoi	thin
外国人	がいこくじん	gaikokujin	Foreigner
ホテル	ホテル	hoteru	Hotels
葉書	はがき	hagaki	postcard
着る	きる	kiru	Wear
欲しい	ほしい	hoshii	Wanted
新聞	しんぶん	shinbun	newspaper
本当に	ほんとうに	hontouni	truly
涼しい	すずしい	suzushii	It’s cool
見る	みる	miru	to see
テープ	テープ	teepu	tape
言葉	ことば	kotoba	word
二日	ふつか	futsuka	two days
一日	いちにち	ichinichi	one day
買物	かいもの	kaimono	shopping
歌	うた	uta	song
旅行	りょこう	ryokou	Travel"}”>Travel
一昨年	おととし	ototoshi	Two years ago
優しい	やさしい	yasashii	friendly
また	また	mata	Also
出す	だす	dasu	put out
左	ひだり	hidari	left
写真	しゃしん	shashin	Photo
金曜日	きんようび	kinyoubi	Friday
毎週	まいしゅう	maishuu	Every week
テスト	テスト	tesuto	test
古い	ふるい	furui	old
七つ	ななつ	nanatsu	seven
コップ	コップ	koppu	Cup
北	きた	kita	North
立つ	たつ	tatsu	stand
カメラ	かめら	kamera	camera
テープレコーダー	テープレコーダー	teepu rekoodaa	Tape recorder
乗る	のる	noru	get on
空	そら	sora	Sky
じゃ	じゃ	ja	Well
もっと	もっと	motto	More
死ぬ	しぬ	shinu	die
辛い	からい	karai	Spicy
走る	はしる	hashiru	Run
二十歳	はたち	hatachi	Twenty years old
一人	ひとり	hitori	One person
もう	もう	mou	Already
全部	ぜんぶ	zenbu	Whole
門	もん	mon	gate
料理	りょうり	ryouri	cuisine
来月	らいげつ	raigetsu	next month
散歩	さんぽ	sanpo	walk
道	みち	michi	road
貸す	かす	kasu	lend
休む	やすむ	yasumu	rest
知る	しる	shiru	know
すぐに	すぐに	sugu ni	Immediately
海	うみ	umi	Sea
右	みぎ	migi	right
朝	あさ	asa	Morning
南	みなみ	minami	South
十二月	じゅうにがつ	juunigatsu	December
もしもし	もしもし	moshimoshi"}”>moshimoshi	Hello"}”>Hello
人	ひと	hito	Man
大きい	おおきい	ookii	large
口	くち	kuchi	mouth
月曜日	げつようび	getsuyoubi	Monday
来週	らいしゅう	raishuu	next week
六日	むいか	muika	Six days
橋	はし	hashi	bridge
勉強	べんきょう	benkyou	study
外	そと	soto	Outside
先週	せんしゅう	senshuu	last week
薬	くすり	kusuri	medicine
毎年	まいとし/まいねん	maitoshi/mainen	Every year
女の子	おんなのこ	onnanoko	girl
消す	けす	kesu	Extinguish
銀行	ぎんこう	ginkou	Bank
危ない	あぶない	abunai	Dangerous
帰る	かえる	kaeru	Return
どんな	どんな	donna	What
張る	はる	haru	Stretch
二月	にがつ	nigatsu	February
木	き	ki	wood
半分	はんぶん	hanbun	Half
いくら	いくら	ikura"}”>ikura	Salmon roe
歌う	うたう	utau	sing
毎朝	まいあさ	maiasa	Every morning
座る	すわる	suwaru	sit
詰らない	つまらない	tsumaranai	Clog not
牛乳	ぎゅうにゅう	gyuunyuu	milk
二	に	ni	two
